"SEXO","EDAD","PAIS","AÑO ESTIMACION","CODREGEO","REGION","CENSO AJUSTADO","RRAA_REGULAR","RRAA_IRREGULAR","RRAA_TOTAL","ESTIMACION"
"H","75 A 79","ALEMANIA",2018,1,"ARICA Y PARINACOTA","3","","","",3
"H","75 A 79","ALEMANIA",2018,3,"ANTOFAGASTA","1","","","",1
"H","75 A 79","ALEMANIA",2018,4,"ATACAMA","1","","","",1
"H","75 A 79","ALEMANIA",2018,5,"COQUIMBO","4","","","",4
"H","75 A 79","ALEMANIA",2018,6,"VALPARAÍSO","30","","1","1",31
"H","75 A 79","ALEMANIA",2018,7,"METROPOLITANA DE SANTIAGO","84","","","",84
"H","75 A 79","ALEMANIA",2018,9,"MAULE","6","","","",6
"H","75 A 79","ALEMANIA",2018,10,"ÑUBLE","2","","","",2
"H","75 A 79","ALEMANIA",2018,11,"BIOBÍO","12","","","",12
"H","75 A 79","ALEMANIA",2018,12,"LA ARAUCANÍA","16","","","",16
"H","75 A 79","ALEMANIA",2018,13,"LOS RÍOS","10","","","",10
"H","75 A 79","ALEMANIA",2018,14,"LOS LAGOS","10","","","",10
"H","75 A 79","ALEMANIA",2018,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","2","","","",2
"H","75 A 79","ALEMANIA",2018,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","1","","","",1
"H","75 A 79","ALEMANIA",2019,1,"ARICA Y PARINACOTA","4","","","",4
"H","75 A 79","ALEMANIA",2019,3,"ANTOFAGASTA","1","","","",1
"H","75 A 79","ALEMANIA",2019,4,"ATACAMA","1","","","",1
"H","75 A 79","ALEMANIA",2019,5,"COQUIMBO","5","","","",5
"H","75 A 79","ALEMANIA",2019,6,"VALPARAÍSO","30","1","1","2",32
"H","75 A 79","ALEMANIA",2019,7,"METROPOLITANA DE SANTIAGO","78","","1","1",79
"H","75 A 79","ALEMANIA",2019,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","1","","","",1
"H","75 A 79","ALEMANIA",2019,9,"MAULE","7","","","",7
"H","75 A 79","ALEMANIA",2019,10,"ÑUBLE","2","","","",2
"H","75 A 79","ALEMANIA",2019,11,"BIOBÍO","14","","","",14
"H","75 A 79","ALEMANIA",2019,12,"LA ARAUCANÍA","16","","","",16
"H","75 A 79","ALEMANIA",2019,13,"LOS RÍOS","8","","","",8
"H","75 A 79","ALEMANIA",2019,14,"LOS LAGOS","10","","","",10
"H","75 A 79","ALEMANIA",2019,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","1","","","",1
