"";"pais";"año";"region";"comuna";"estimacion"
"165";"ALEMANIA";"2021";"TARAPACÁ";"ALTO HOSPICIO";3
"166";"ALEMANIA";"2021";"TARAPACÁ";"IQUIQUE";39
"167";"ALEMANIA";"2021";"VALPARAÍSO";"VALPARAÍSO";172
"168";"ALEMANIA";"2021";"VALPARAÍSO";"VIÑA DEL MAR";315
"169";"ALEMANIA";"2022";"ANTOFAGASTA";"ANTOFAGASTA";44
"170";"ALEMANIA";"2022";"ANTOFAGASTA";"CALAMA";19
"171";"ALEMANIA";"2022";"ARICA Y PARINACOTA";"ARICA";29
"172";"ALEMANIA";"2022";"ATACAMA";"COPIAPÓ";20
"173";"ALEMANIA";"2022";"BIOBÍO";"CONCEPCIÓN";139
"174";"ALEMANIA";"2022";"COQUIMBO";"COQUIMBO";31
"175";"ALEMANIA";"2022";"COQUIMBO";"LA SERENA";80
"176";"ALEMANIA";"2022";"LA ARAUCANÍA";"TEMUCO";119
"177";"ALEMANIA";"2022";"LIBERTADOR GENERAL BERNARDO O'HIGGINS";"RANCAGUA";18
"178";"ALEMANIA";"2022";"LOS LAGOS";"PUERTO MONTT";57
"179";"ALEMANIA";"2022";"MAULE";"CURICÓ";12
"180";"ALEMANIA";"2022";"MAULE";"TALCA";60
"181";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"CERRO NAVIA";4
"182";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"COLINA";93
"183";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"CONCHALÍ";8
"184";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"ESTACIÓN CENTRAL";22
"185";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"INDEPENDENCIA";16
"186";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"LA CISTERNA";4
"187";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"LA FLORIDA";106
"188";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"LAS CONDES";819
"189";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"LO BARNECHEA";216
"190";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"LO PRADO";1
"191";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"MACUL";34
"192";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"MAIPÚ";41
"193";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"MELIPILLA";6
"194";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"PEÑALOLÉN";90
"195";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"PROVIDENCIA";614
"196";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"PUDAHUEL";11
"197";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"PUENTE ALTO";56
"198";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"QUILICURA";19
"199";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"QUINTA NORMAL";16
"200";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"RECOLETA";46
"201";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"SAN BERNARDO";27
"202";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"SAN JOAQUÍN";14
"203";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"SAN MIGUEL";23
"204";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"SANTIAGO";362
"205";"ALEMANIA";"2022";"METROPOLITANA DE SANTIAGO";"VITACURA";479
