"";"pais";"año";"estimacion";"cut_comuna";"comuna";"cut_region";"region"
"185";"ALEMANIA";"2022";16;13108;"Independencia";13;"Metropolitana de Santiago"
"186";"ALEMANIA";"2022";4;13109;"La Cisterna";13;"Metropolitana de Santiago"
"187";"ALEMANIA";"2022";106;13110;"La Florida";13;"Metropolitana de Santiago"
"188";"ALEMANIA";"2022";819;13114;"Las Condes";13;"Metropolitana de Santiago"
"189";"ALEMANIA";"2022";216;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"190";"ALEMANIA";"2022";1;13117;"Lo Prado";13;"Metropolitana de Santiago"
"191";"ALEMANIA";"2022";34;13118;"Macul";13;"Metropolitana de Santiago"
"192";"ALEMANIA";"2022";41;13119;"Maipú";13;"Metropolitana de Santiago"
"193";"ALEMANIA";"2022";6;13501;"Melipilla";13;"Metropolitana de Santiago"
"194";"ALEMANIA";"2022";90;13122;"Peñalolén";13;"Metropolitana de Santiago"
"195";"ALEMANIA";"2022";614;13123;"Providencia";13;"Metropolitana de Santiago"
"196";"ALEMANIA";"2022";11;13124;"Pudahuel";13;"Metropolitana de Santiago"
"197";"ALEMANIA";"2022";56;13201;"Puente Alto";13;"Metropolitana de Santiago"
"198";"ALEMANIA";"2022";19;13125;"Quilicura";13;"Metropolitana de Santiago"
"199";"ALEMANIA";"2022";16;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"200";"ALEMANIA";"2022";46;13127;"Recoleta";13;"Metropolitana de Santiago"
"201";"ALEMANIA";"2022";27;13401;"San Bernardo";13;"Metropolitana de Santiago"
"202";"ALEMANIA";"2022";14;13129;"San Joaquín";13;"Metropolitana de Santiago"
"203";"ALEMANIA";"2022";23;13130;"San Miguel";13;"Metropolitana de Santiago"
"204";"ALEMANIA";"2022";362;13101;"Santiago";13;"Metropolitana de Santiago"
"205";"ALEMANIA";"2022";479;13132;"Vitacura";13;"Metropolitana de Santiago"
"206";"ALEMANIA";"2022";335;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"207";"ALEMANIA";"2022";3;1107;"Alto Hospicio";1;"Tarapacá"
"208";"ALEMANIA";"2022";38;1101;"Iquique";1;"Tarapacá"
"209";"ALEMANIA";"2022";171;5101;"Valparaíso";5;"Valparaíso"
"210";"ALEMANIA";"2022";320;5109;"Viña del Mar";5;"Valparaíso"
"211";"ARGENTINA";"2018";1354;2101;"Antofagasta";2;"Antofagasta"
"212";"ARGENTINA";"2018";661;2201;"Calama";2;"Antofagasta"
"213";"ARGENTINA";"2018";371;15101;"Arica";15;"Arica y Parinacota"
"214";"ARGENTINA";"2018";361;3101;"Copiapó";3;"Atacama"
